Divisão;Unidade;Código Cliente;Projeto Financeiro;Mês base;Score
KD82;K11;247522;176892;01/04/2024;Sim
KD82;K12;407730;179611;01/04/2024;Sim
KD82;K13;405894;178613;01/04/2024;Não - <60 dias
KD82;K14;405929;178612;01/04/2024;Não - <60 dias
KD82;K15;403124;177487;01/04/2024;Não - <60 dias
KD82;K16;249513;176759;01/04/2024;Não - <60 dias
KD82;K18;387847;176764;01/04/2024;Não - <60 dias
KD82;K21;409390;180454;01/04/2024;Sim
KD82;K24;407606;179525;01/04/2024;Não - <60 dias
KD82;K25;406826;184076;01/04/2024;Sim
KD82;K26;406826;184078;01/04/2024;Não - <60 dias
KD82;L01;246714;177552;01/04/2024;Sim
KD82;L02;388151;176335;01/04/2024;Sim
KD82;L03;423747;181400;01/04/2024;Não - <60 dias
KD82;L04;388280;176688;01/04/2024;Sim
KD82;L05;387996;176731;01/04/2024;Não - <60 dias
KD82;L06;406922;179114;01/04/2024;Não - <60 dias
KD82;L07;356998;182906;01/04/2024;Sim
KD82;L08;407924;179732;01/04/2024;Não - <60 dias
KD82;L09;388907;176566;01/04/2024;Não - <60 dias
KD82;L10;388907;176565;01/04/2024;Não - <60 dias
KD82;M01;406899;179191;01/04/2024;Não - <60 dias
KD82;M02;264592;182175;01/04/2024;Não - <60 dias
KD82;M03;407929;179731;01/04/2024;Não - <60 dias
KD82;M07;346409;176411;01/04/2024;Não - <60 dias
KD82;M08;424247;181681;01/04/2024;Não - <60 dias
KD82;M09;390173;176898;01/04/2024;Não - <60 dias
KD82;M10;406679;178986;01/04/2024;Não - <60 dias
KD82;M13;427142;182813;01/04/2024;Não - <60 dias
KD82;M16;423979;181510;01/04/2024;Não - <60 dias
KD82;M17;427080;182796;01/04/2024;Não - <60 dias
KD82;M18;407446;181117;01/04/2024;Não - <60 dias
KD82;M19;407446;181116;01/04/2024;Não - <60 dias
KD82;M20;409299;180459;01/04/2024;Não - <60 dias
KD82;N02;406311;178777;01/04/2024;Sim
KD82;N03;173140;176581;01/04/2024;Sim
KD82;N05;388006;176648;01/04/2024;Não - <60 dias
KD82;N08;424381;182190;01/04/2024;Não - <60 dias
KD82;N09;409243;180425;01/04/2024;Sim
KD82;N10;388234;181320;01/04/2024;Não - <60 dias
KD82;N11;388635;181175;01/04/2024;Não - <60 dias
KD82;N12;276177;184233;01/04/2024;Não - <60 dias
KD82;N13;427533;183001;01/04/2024;Não - <60 dias
KD82;N14;413469;180606;01/04/2024;Não - <60 dias
KD82;N15;413469;180595;01/04/2024;Não - <60 dias
KD82;N16;427385;182970;01/04/2024;Sim
KD82;N18;426484;182489;01/04/2024;Sim
KD82;O01;409132;180192;01/04/2024;Não - <60 dias
KD82;O02;430809;184022;01/04/2024;Não - <60 dias
KD82;O03;430497;183833;01/04/2024;Não - <60 dias
KD82;O04;427586;183042;01/04/2024;Não - <60 dias
KD82;O07;406068;183577;01/04/2024;Não - <60 dias
KD82;O08;429502;183491;01/04/2024;Não - <60 dias
KD82;O09;424380;181732;01/04/2024;Não - <60 dias
KD82;O10;388220;176605;01/04/2024;Sim
KD82;O11;388735;183956;01/04/2024;Sim
KD82;O12;424332;181716;01/04/2024;Não - <60 dias
KD82;O14;430370;183706;01/04/2024;Não - <60 dias
KD82;O15;425880;182320;01/04/2024;Sim
KD82;O16;348577;183465;01/04/2024;Não - <60 dias
KD82;O17;409109;183825;01/04/2024;Não - <60 dias
KD82;O18;430307;183838;01/04/2024;Não - <60 dias
KD82;O19;427486;182991;01/04/2024;Não - <60 dias
KD82;O20;427574;183041;01/04/2024;Não - <60 dias
KD82;O21;171864;183028;01/04/2024;Não - <60 dias
KD82;O22;408067;179772;01/04/2024;Não - <60 dias
KD82;Q01;247515;177503;01/04/2024;Não - <60 dias
KD82;Q02;430751;183984;01/04/2024;Não - <60 dias
KD82;Q03;409149;180163;01/04/2024;Não - <60 dias
KD82;Q04;424417;181804;01/04/2024;Não - <60 dias
KD82;Q05;408407;179903;01/04/2024;Não - <60 dias
KD82;Q06;427681;183216;01/04/2024;Não - <60 dias
KD82;Q07;424550;179433;01/04/2024;Não - <60 dias
KD82;Q08;423856;181463;01/04/2024;Não - <60 dias
KD82;Q09;423856;181462;01/04/2024;Não - <60 dias
KD82;Q10;423115;181113;01/04/2024;Não - <60 dias
KD82;Q11;388770;176642;01/04/2024;Sim
KD82;Q12;424340;181721;01/04/2024;Não - <60 dias
KD82;Q15;387824;176507;01/04/2024;Não - <60 dias
KD82;Q16;407330;179393;01/04/2024;Sim
KD82;Q19;387824;176505;01/04/2024;Não - <60 dias
KD82;Q20;388830;176459;01/04/2024;Sim
KD82;Q21;409477;180618;01/04/2024;Não - <60 dias
KD82;Q22;409477;180617;01/04/2024;Não - <60 dias
KD82;Q24;424371;181733;01/04/2024;Sim
KD82;Q25;423887;181474;01/04/2024;Não - <60 dias
KD82;Q26;408337;180125;01/04/2024;Sim
KD82;Q27;427028;179699;01/04/2024;Não - <60 dias
KD82;Q28;388252;176376;01/04/2024;Não - <60 dias
KD82;R02;423452;181343;01/04/2024;Não - <60 dias
KD82;R03;423452;181342;01/04/2024;Não - <60 dias
KD82;R04;173002;176803;01/04/2024;Não - <60 dias
KD82;R08;427596;183040;01/04/2024;Não - <60 dias
KD82;R14;424932;181985;01/04/2024;Não - <60 dias
KD82;R15;407686;179557;01/04/2024;Não - <60 dias
KD82;R20;407639;179548;01/04/2024;Não - <60 dias
KD82;R21;407639;179547;01/04/2024;Sim
KD82;R22;407638;179549;01/04/2024;Não - <60 dias
KD82;R23;431515;184176;01/04/2024;Não - <60 dias
KD82;R24;430903;184085;01/04/2024;Não - <60 dias
KD82;R25;424095;181583;01/04/2024;Não - <60 dias
KD82;R28;409479;180492;01/04/2024;Sim
KD82;R29;423941;181497;01/04/2024;Não - <60 dias
KD82;R30;388822;177038;01/04/2024;Sim
KD82;R32;26574;176672;01/04/2024;Não - <60 dias
KD82;R33;26574;176687;01/04/2024;Não - <60 dias
KD82;R34;423941;181496;01/04/2024;Não - <60 dias
KD82;R35;409405;180491;01/04/2024;Não - <60 dias
KD82;R38;388879;176646;01/04/2024;Não - <60 dias
KD82;R39;406710;180277;01/04/2024;Não - <60 dias
KD82;R41;387973;176575;01/04/2024;Não - <60 dias
KD82;R42;407460;179450;01/04/2024;Não - <60 dias
KD82;R43;424108;181677;01/04/2024;Não - <60 dias
KD82;R44;171389;181546;01/04/2024;Não - <60 dias
KD82;R45;424091;181596;01/04/2024;Não - <60 dias
KD82;R47;429605;183538;01/04/2024;Não - <60 dias
KD82;R49;424134;181592;01/04/2024;Não - <60 dias
KD82;R50;430388;183835;01/04/2024;Não - <60 dias
KD82;R51;427108;182855;01/04/2024;Não - <60 dias
KD82;R52;429669;183552;01/04/2024;Não - <60 dias
KD82;R53;429669;183981;01/04/2024;Não - <60 dias
KD82;R54;424357;181720;01/04/2024;Não - <60 dias
KD82;R55;424356;181719;01/04/2024;Não - <60 dias
KD82;R56;388166;176700;01/04/2024;Não - <60 dias
KD82;R57;387937;183906;01/04/2024;Sim
KD82;R58;426009;176571;01/04/2024;Não - <60 dias
KD82;R59;387937;181595;01/04/2024;Sim
KD82;R60;387937;181593;01/04/2024;Sim
KD82;R61;430361;179495;01/04/2024;Não - <60 dias
KD82;R63;388760;176654;01/04/2024;Não - <60 dias
KD82;R64;403121;177459;01/04/2024;Sim
KD82;S01;426637;182560;01/04/2024;Não - <60 dias
KD82;S02;406804;179798;01/04/2024;Não - <60 dias
KD82;S04;403097;177463;01/04/2024;Não - <60 dias
KD82;S05;408366;179995;01/04/2024;Sim
KD82;S06;388308;176546;01/04/2024;Sim
KD82;S07;388740;176664;01/04/2024;Não - <60 dias
KD82;S08;407742;179601;01/04/2024;Não - <60 dias
KD82;S10;409317;180482;01/04/2024;Não - <60 dias
KD82;S11;388265;176666;01/04/2024;Sim
KD82;S12;423041;180704;01/04/2024;Sim
KD82;S13;431539;184116;01/04/2024;Não - <60 dias
KD82;S14;423847;181475;01/04/2024;Não - <60 dias
KD82;S15;423884;181489;01/04/2024;Não - <60 dias
KD82;S17;173099;180206;01/04/2024;Não - <60 dias
KD82;S18;387900;176450;01/04/2024;Não - <60 dias
KD82;S19;388764;176644;01/04/2024;Não - <60 dias
KD82;S20;388764;176643;01/04/2024;Não - <60 dias
KD82;S21;348784;176557;01/04/2024;Não - <60 dias
KD82;S22;389901;176732;01/04/2024;Não - <60 dias
KD82;S24;388153;176461;01/04/2024;Não - <60 dias
KD82;S28;361804;184258;01/04/2024;Não - <60 dias
KD82;S29;171860;176723;01/04/2024;Sim
KD82;S30;172612;176452;01/04/2024;Não - <60 dias
KD82;S31;264189;179751;01/04/2024;Não - <60 dias
KD82;S32;387826;176574;01/04/2024;Não - <60 dias
KD82;S33;424251;181686;01/04/2024;Não - <60 dias
KD82;S34;408183;179863;01/04/2024;Sim
KD82;S38;388880;179661;01/04/2024;Não - <60 dias
KD82;S39;388880;176570;01/04/2024;Não - <60 dias
KD82;S40;388880;176569;01/04/2024;Não - <60 dias
KD82;T01;388748;176660;01/04/2024;Sim
KD82;T02;408141;179829;01/04/2024;Não - <60 dias
KD82;T03;407393;179327;01/04/2024;Não - <60 dias
KD82;T04;249451;180061;01/04/2024;Não - <60 dias
KD82;T05;412266;180676;01/04/2024;Não - <60 dias
KD82;T06;409075;180165;01/04/2024;Não - <60 dias
KD82;T08;275022;179747;01/04/2024;Não - <60 dias
KD82;T09;409195;180399;01/04/2024;Não - <60 dias
KD82;T11;408334;179896;01/04/2024;Não - <60 dias
KD82;U02;406117;178772;01/04/2024;Não - <60 dias
KD82;U04;406719;179083;01/04/2024;Não - <60 dias
KD82;U08;406517;178943;01/04/2024;Não - <60 dias
KD82;V01;426288;176661;01/04/2024;Não - Registro Ar - Endereco Insuficiente
KD82;V03;270537;177518;01/04/2024;Não - <60 dias
KD82;V04;388235;176468;01/04/2024;Sim
KD82;V07;387860;176460;01/04/2024;Não - <60 dias
KD82;V08;387947;176553;01/04/2024;Sim
