Considerar?;Cód. Cliente;Tipo da Ação;Data Citação;Status da Ação;Tipo da Ação;Data do Encerramento;Data encerramento maior que citação;Localizado;Qtde. de Ações por Cliente;Ordem de Priorização
1;80514;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;80516;MULTA CONTRATUAL POR ATRASO;31/03/2016;ATIVO;CÍVEL;;0;1;1;15
1;80543;MULTA CONTRATUAL POR ATRASO;31/05/2022;ATIVO;CÍVEL;;0;1;1;15
1;80649;MULTA CONTRATUAL POR ATRASO;30/09/2013;ATIVO;CÍVEL;;0;1;1;15
1;80776;MULTA CONTRATUAL POR ATRASO;30/04/2022;ATIVO;CÍVEL;;0;1;1;15
1;80779;MULTA CONTRATUAL POR ATRASO;31/12/2018;ATIVO;CÍVEL;;0;1;1;15
1;80991;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;80992;MULTA CONTRATUAL POR ATRASO;30/11/2017;ATIVO;CÍVEL;;0;1;1;15
1;80998;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;81001;AUSÊNCIA DE ESCRITURAÇÃO;30/09/2021;ATIVO;CÍVEL;;0;1;1;15
1;81039;MULTA CONTRATUAL POR ATRASO;31/07/2019;ATIVO;CÍVEL;;0;1;1;15
1;81060;MULTA CONTRATUAL POR ATRASO;31/03/2015;ATIVO;CÍVEL;;0;1;1;15
1;81096;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;81100;TRANSFERÊNCIA DE PROPRIEDADE;30/04/2013;ATIVO;CÍVEL;;0;1;2;7
1;81100;MULTA CONTRATUAL POR ATRASO;31/08/2015;ATIVO;CÍVEL;;0;1;2;15
1;81238;MULTA CONTRATUAL POR ATRASO;28/02/2018;ATIVO;CÍVEL;;0;1;1;15
1;81240;RESCISÃO CONTRATUAL COM ATRASO;30/06/2016;ATIVO;CÍVEL;;0;1;2;15
1;81240;RESCISÃO CONTRATUAL COM ATRASO;30/06/2016;ATIVO;CÍVEL;;0;1;2;15
1;81314;RESCISÃO CONTRATUAL SEM ATRASO;31/10/2021;ATIVO;CÍVEL;;0;1;1;15
1;81960;RESCISÃO CONTRATUAL SEM ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;81989;NEGATIVAÇÃO INDEVIDA;29/02/2016;ATIVO;CÍVEL;;0;1;1;5
1;82130;MULTA CONTRATUAL POR ATRASO;31/05/2019;ATIVO;CÍVEL;;0;1;1;15
1;82969;RESCISÃO CONTRATUAL COM ATRASO;31/12/2017;ATIVO;CÍVEL;;0;1;1;15
1;82973;MULTA CONTRATUAL POR ATRASO;31/08/2018;ATIVO;CÍVEL;;0;1;1;15
1;82974;MULTA CONTRATUAL POR ATRASO;31/07/2022;ATIVO;CÍVEL;;0;1;1;15
1;82976;MULTA CONTRATUAL POR ATRASO;28/02/2022;ATIVO;CÍVEL;;0;1;2;15
1;82976;MULTA CONTRATUAL POR ATRASO;31/10/2019;ATIVO;CÍVEL;;0;1;2;15
1;83024;MULTA CONTRATUAL POR ATRASO;30/04/2022;ATIVO;CÍVEL;;0;1;1;15
1;83060;MULTA CONTRATUAL;31/01/2013;ATIVO;CÍVEL;;0;1;1;15
1;83094;MULTA CONTRATUAL POR ATRASO;31/10/2017;ATIVO;CÍVEL;;0;1;1;15
1;83103;MULTA CONTRATUAL POR ATRASO;31/07/2018;ATIVO;CÍVEL;;0;1;1;15
1;83120;MULTA CONTRATUAL POR ATRASO;31/05/2022;ATIVO;CÍVEL;;0;1;1;15
1;83122;MULTA CONTRATUAL POR ATRASO;31/07/2017;ATIVO;CÍVEL;;0;1;1;15
1;83127;MULTA CONTRATUAL POR ATRASO;30/09/2017;ATIVO;CÍVEL;;0;1;1;15
1;83156;MULTA CONTRATUAL POR ATRASO;31/05/2013;ATIVO;CÍVEL;;0;1;1;15
1;83163;MULTA CONTRATUAL;31/07/2014;ATIVO;CÍVEL;;0;1;1;15
1;83230;RESCISÃO CONTRATUAL COM ATRASO;31/12/2014;ATIVO;CÍVEL;;0;1;1;15
1;83239;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;83542;MULTA CONTRATUAL POR ATRASO;30/04/2022;ATIVO;CÍVEL;;0;1;1;15
1;83582;RESCISÃO CONTRATUAL COM ATRASO;30/11/2013;ATIVO;CÍVEL;;0;1;2;15
1;83582;RESTITUIÇÃO DA TAXA ASSOCIATIVA E IPTU;31/10/2017;ATIVO;CÍVEL;;0;1;2;10
1;83583;RESCISÃO CONTRATUAL COM ATRASO;30/11/2013;ATIVO;CÍVEL;;0;1;1;15
1;83592;RESCISÃO CONTRATUAL COM ATRASO;30/09/2020;ATIVO;CÍVEL;;0;1;1;15
1;83629;REVISÃO CONTRATUAL;31/05/2011;ATIVO;CÍVEL;;0;1;2;6
1;83629;REVISÃO CONTRATUAL;31/03/2019;ATIVO;CÍVEL;;0;1;2;6
1;84255;MULTA CONTRATUAL POR ATRASO;30/06/2013;ATIVO;CÍVEL;;0;1;1;15
1;84371;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;85273;MULTA CONTRATUAL POR ATRASO;31/07/2016;ATIVO;CÍVEL;;0;1;1;15
1;85278;RESCISÃO CONTRATUAL COM ATRASO;30/04/2017;ATIVO;CÍVEL;;0;1;1;15
1;85567;MULTA CONTRATUAL POR ATRASO;31/10/2015;ATIVO;CÍVEL;;0;1;1;15
1;85670;MULTA CONTRATUAL POR ATRASO;31/05/2022;ATIVO;CÍVEL;;0;1;1;15
1;85874;MULTA CONTRATUAL POR ATRASO;30/09/2013;ATIVO;CÍVEL;;0;1;1;15
1;87116;RESCISÃO CONTRATUAL SEM ATRASO;31/03/2014;ATIVO;CÍVEL;;0;1;1;15
1;87717;RESCISÃO CONTRATUAL COM ATRASO;30/06/2015;ATIVO;CÍVEL;;0;1;1;15
1;87750;MULTA CONTRATUAL POR ATRASO;31/10/2016;ATIVO;CÍVEL;;0;1;1;15
1;87906;MULTA CONTRATUAL POR ATRASO;31/10/2016;ATIVO;CÍVEL;;0;1;1;15
1;88239;MULTA CONTRATUAL POR ATRASO;31/01/2019;ATIVO;CÍVEL;;0;1;1;15
1;88562;MULTA CONTRATUAL POR ATRASO;31/03/2022;ATIVO;CÍVEL;;0;1;1;15
1;88593;RESCISÃO CONTRATUAL SEM ATRASO;31/10/2014;ATIVO;CÍVEL;;0;1;1;15
1;104370;RESCISÃO CONTRATUAL COM ATRASO;31/10/2018;ATIVO;CÍVEL;;0;1;1;15
1;104904;RESCISÃO CONTRATUAL COM ATRASO;31/03/2020;ATIVO;CÍVEL;;0;1;1;15
1;111149;RESCISÃO CONTRATUAL;30/06/2021;ATIVO;CÍVEL;;0;1;2;1
1;111149;TRANSFERÊNCIA DE PROPRIEDADE;31/05/2016;ATIVO;CÍVEL;;0;1;2;7
1;138042;NEGATIVAÇÃO INDEVIDA;30/04/2013;ATIVO;CÍVEL;;0;1;1;5
1;144657;RESTITUIÇÃO DO IPTU;30/04/2022;ATIVO;CÍVEL;;0;1;4;10
1;144657;RESTITUIÇÃO DO IPTU;30/04/2022;ATIVO;CÍVEL;;0;1;4;10
1;144657;RESTITUIÇÃO DO IPTU;31/05/2022;ATIVO;CÍVEL;;0;1;4;10
1;144657;COBRANÇA INDEVIDA;31/08/2022;ATIVO;CÍVEL;;0;1;4;3
1;145087;VÍCIOS CONSTRUTIVOS;29/02/2020;ATIVO;CÍVEL;;0;1;2;9
1;145087;VÍCIOS CONSTRUTIVOS;31/05/2020;ATIVO;CÍVEL;;0;1;2;9
1;151921;MULTA CONTRATUAL POR ATRASO;31/07/2020;ATIVO;CÍVEL;;0;1;1;15
