Divisao;Unidade;Código Cliente;Projeto Financeiro
L58X;P13;73765;54717
L58X;S14;206284;55467
L58X;T09;227445;70603
L58X;V07;11710;55968
L58X;W15;206342;55015
L58X;X03;242218;81421
L58X;C0101;207018;137811
L58X;C0104;245604;84151
L58X;C0111;207419;55949
L58X;C0207;207388;81513
L58X;C0308;208597;56730
L592;BB15;250376;87787
L592;BB18;347072;87322
L592;BB23;311117;87364
L592;CB11;206559;87491
L592;CB17;206276;87862
L592;EB07;249863;87398
L592;FB11;253419;90666
L592;GB05;249700;87290
L592;GB11;249902;87431
L592;GB19;250754;88170
L592;HB05;209819;88730
L592;HB09;206943;87854
L592;IB20;250481;87880
L592;JB01;250820;88846
L592;JB04;250017;87527
L592;JB10;265927;87318
L592;JB13;250793;88200
L592;JB18;253609;90843
L592;JB22;302815;89003
L592;JB30;251983;89193
L592;JB33;250436;87845
L592;KB07;208597;88883
L592;MB02;346254;91295
L592;MB07;249983;87502
L592;MB19;273625;87439
L592;NB17;206621;87863
L592;OB02;252898;90154
L592;OB07;253319;90570
L592;OB08;249712;87299
L592;OB11;249997;87511
L592;OB15;250650;88020
L592;PB09;307472;132460
L592;PB10;219583;88118
L592;PB12;208595;87933
L592;PB14;208595;87936
L592;QB03;250645;88015
L592;QB12;249926;87451
L592;QB15;252899;90157
L592;SB09;209830;87430
L592;SB10;349070;148680
L592;SB15;297814;88983
L592;SB16;252868;90126
L592;TB08;250444;87850
L592;UB02;250573;87962
L592;UB11;252837;90102
L592;VB13;249725;87310
L592;WB11;250052;87555
L74X;O08;302897;128674
L74X;Z37;306845;131943
L74X;Z50;403462;181520
L902;E32;403417;177622
L902;F22;425975;182285
L902;K05;424009;181601
L902;L06;424053;181600
L91X;A126;403056;181526
L91X;D35;403056;177495
L91X;G01;322272;144767
L91X;I04;327183;148747
M032;S24;354319;169896
M032;X12;355034;170462
M032;AC02;354338;169938
M032;AC27;355050;170540
M032;AD06;355683;170698
M052;AR11;44968;182574
M162;B16;356960;169127
M162;I21;255809;163663
M622;A08;250260;163792
M622;B03;349073;165347
M622;O23;347601;165497
M622;P26;360459;165396
M622;S04;347105;168864
M622;S18;320060;142921
M412;D08;345253;89173
M412;D09;345253;89175
M412;F17;251456;88766
M412;R26;251996;89208
M412;X03;319434;90170
M412;Y07;252326;89539
M412;AB10;296541;89362
M462;B17;270765;103862
M462;C10;271046;104084
M462;D19;271975;104821
M462;E01;356732;171029
M462;F02;251036;162821
M462;H09;270734;103829
M462;H10;270734;103864
M462;I14;270928;104011
M462;J03;270863;103943
M462;J04;350150;175339
M462;J05;350150;175340
M462;J15;271610;104583
M462;J16;271610;104527
M462;K05;271215;104186
M462;K07;274363;106712
M462;K19;63099;104399
M462;K20;63099;104018
M462;K22;323375;104401
M462;K23;323375;104190
M462;K31;271920;104783
M462;K33;270961;104020
M462;L11;350150;174269
M462;L15;271973;104820
M462;L16;305488;130796
M462;N01;293775;121295
M462;N04;272811;105475
M462;N09;271006;104054
M462;O03;270991;104044
M462;O11;206902;103988
M462;O29;271063;104097
M462;O30;270925;103991
M462;O36;261207;103902
M462;O41;270815;103905
M462;P04;350150;174261
M462;P09;320932;103835
M462;Q04;350150;174268
M462;Q08;270995;104071
M462;R07;270825;103913
M462;R15;250645;103910
M462;R19;360177;173455
M462;S11;208393;104547
M462;S14;270889;103962
M462;T05;324151;146326
M462;T07;270928;103994
M462;U06;323983;146170
M462;U08;251890;104229
M462;V17;270944;104006
M462;V19;251890;104226
M462;V23;270951;104010
M462;V25;271181;104163
M462;V26;270910;103980
M462;C0101;350150;167075
M462;C0104;350150;167077
M462;C0105;350150;167078
M512;A106;317927;141166
M512;K101;334519;170157
M512;K136;322133;144704
M512;N101;303648;129255
M512;N120;317168;140548
M512;N121;317168;140551
M512;N122;317168;140554
M512;O101;349548;168914
M512;V105;303684;129288
M512;V111;183409;113073
M512;W123;316904;140349
M512;X112;316943;140377
M512;X118;306841;131936
M512;Z102;283145;113021
M512;Z127;282753;112708
M512;Z130;282767;112722
M512;AA108;283772;113521
M512;BA106;315297;139010
M562;E108;357903;172087
M562;I118;426882;182701
M562;K101;424085;181613
M612;B104;424315;181741
M612;I111;278122;179691
M612;AA102;428274;179725
M612;AE111;424256;181699
M712;B104;424290;181738
M712;C101;425943;182220
M712;E111;424292;181736
M712;F116;272255;105021
M712;H114;424451;181759
M712;J116;424292;181896
M712;L121;424336;181734
M712;L122;424264;181735
M712;N122;426027;182265
M712;P101;347987;181712
M712;Q118;424295;182179
M712;Q119;424295;182170
M712;W108;424294;181865
M722;B06;407959;179767
M722;C01;428274;179851
M722;F03;428274;179741
M722;L23;406355;178824
M722;V06;317626;140899
M722;Y02;348025;181271
M562;IA102;426841;182675
